Month;Dante;Shakespeare
2004-01;64;98
2004-02;38;93
2004-03;50;100
2004-04;45;80
2004-05;72;83
2004-06;24;44
2004-07;36;30
2004-08;40;31
2004-09;56;57
2004-10;52;67
2004-11;57;79
2004-12;45;60
2005-01;57;72
2005-02;48;61
2005-03;50;76
2005-04;32;66
2005-05;38;64
2005-06;39;41
2005-07;28;25
2005-08;35;24
2005-09;45;43
2005-10;49;55
2005-11;53;56
2005-12;43;47
2006-01;43;58
2006-02;44;54
2006-03;32;59
2006-04;29;46
2006-05;37;59
2006-06;31;32
2006-07;29;21
2006-08;39;18
2006-09;35;33
2006-10;45;36
2006-11;36;41
2006-12;29;34
2007-01;47;46
2007-02;42;40
2007-03;38;45
2007-04;36;34
2007-05;33;39
2007-06;29;29
2007-07;29;18
2007-08;35;20
2007-09;42;34
2007-10;31;36
2007-11;39;42
2007-12;38;33
2008-01;47;51
2008-02;40;38
2008-03;36;40
2008-04;28;33
2008-05;36;34
2008-06;30;27
2008-07;30;20
2008-08;38;17
2008-09;34;45
2008-10;38;35
2008-11;36;38
2008-12;41;33
2009-01;32;42
2009-02;33;35
2009-03;31;45
2009-04;26;36
2009-05;29;37
2009-06;28;33
2009-07;25;20
2009-08;28;21
2009-09;33;31
2009-10;30;36
2009-11;32;36
2009-12;33;33
2010-01;46;38
2010-02;100;37
2010-03;53;42
2010-04;45;37
2010-05;48;40
2010-06;32;34
2010-07;31;32
2010-08;37;26
2010-09;41;32
2010-10;34;35
2010-11;38;35
2010-12;30;30
2011-01;35;37
2011-02;34;40
2011-03;30;39
2011-04;31;35
2011-05;31;36
2011-06;29;32
2011-07;32;22
2011-08;28;22
2011-09;30;32
2011-10;31;31
2011-11;30;35
2011-12;28;31
2012-01;31;40
2012-02;28;37
2012-03;28;37
2012-04;27;33
2012-05;24;37
2012-06;25;29
2012-07;27;22
2012-08;24;23
2012-09;30;28
2012-10;36;28
2012-11;32;29
2012-12;31;28
2013-01;33;34
2013-02;33;35
2013-03;34;40
2013-04;41;40
2013-05;46;34
2013-06;53;28
2013-07;45;19
2013-08;48;19
2013-09;34;27
2013-10;29;26
2013-11;30;29
2013-12;29;26
2014-01;32;31
2014-02;35;32
2014-03;34;32
2014-04;35;40
2014-05;30;36
2014-06;29;26
2014-07;43;22
2014-08;34;20
2014-09;29;26
2014-10;27;27
2014-11;28;30
2014-12;26;27
2015-01;29;29
2015-02;29;29
2015-03;30;32
2015-04;31;32
2015-05;30;34
2015-06;28;28
2015-07;26;19
2015-08;30;19
2015-09;31;27
2015-10;25;25
2015-11;29;28
2015-12;24;27
2016-01;36;35
2016-02;33;34
2016-03;30;34
2016-04;34;96
2016-05;30;38
2016-06;26;28
2016-07;31;20
2016-08;57;19
2016-09;55;27
2016-10;43;26
2016-11;57;31
2016-12;58;30
2017-01;60;33
2017-02;60;29
2017-03;48;36
2017-04;52;27
2017-05;43;30
2017-06;39;27
2017-07;32;20
2017-08;40;26
2017-09;35;25
2017-10;47;24
2017-11;37;26
2017-12;40;26
2018-01;39;29
2018-02;44;28
2018-03;46;28
2018-04;46;27
2018-05;45;27
2018-06;43;24
2018-07;32;22
2018-08;39;18
2018-09;37;24
2018-10;37;24
2018-11;48;24
2018-12;38;24
2019-01;34;28
2019-02;32;29
2019-03;37;30
2019-04;56;25
2019-05;53;25
2019-06;54;22
2019-07;51;16
2019-08;37;17
2019-09;34;23
2019-10;33;22
2019-11;35;23
2019-12;34;22
2020-01;36;24
2020-02;34;23
2020-03;38;25
2020-04;62;28
2020-05;41;26
2020-06;31;23
2020-07;27;19
2020-08;28;16
2020-09;34;20
2020-10;42;21
2020-11;37;21
2020-12;33;27
2021-01;37;23
2021-02;39;25
2021-03;51;23
2021-04;42;22
2021-05;38;24
2021-06;26;17
2021-07;29;13
2021-08;38;14
2021-09;47;25
2021-10;44;19
2021-11;52;22
2021-12;38;21
2022-01;44;25
2022-02;41;25
2022-03;38;24
2022-04;36;23
2022-05;37;23
2022-06;37;20
2022-07;37;17
2022-08;37;17
2022-09;34;23
2022-10;39;23
2022-11;32;22
2022-12;34;24
2023-01;40;24
2023-02;43;23
2023-03;45;24
2023-04;51;24
2023-05;50;22
2023-06;36;18
2023-07;33;14
2023-08;39;16
2023-09;42;20
2023-10;46;22
2023-11;42;26
2023-12;40;23
2024-01;38;24
2024-02;42;25
2024-03;41;28
2024-04;40;24
2024-05;41;24
2024-06;36;20
2024-07;31;16
2024-08;36;17
2024-09;41;20
2024-10;39;21
2024-11;40;22
2024-12;38;29
2025-01;43;26
2025-02;39;24
2025-03;41;24
2025-04;49;22
2025-05;44;19
2025-06;34;18
2025-07;37;17
